name,lat,lon,country
PORT SUDAN,19.6,37.23,Sudan
EL PALITO,10.48,-68.12,Venezuela
EL SEGUNDO,33.92,-118.43,United States
MARACAIBO,10.63,-71.6,Venezuela
SAVANNAH,32.08,-81.08,United States
NORFOLK,36.85,-76.3,United States
EMDEN,53.33,7.18,Germany
EMPIRE,43.4,-124.28,United States
EREGLI,41.3,31.45,Turkey
ESBJERG,55.47,8.45,Denmark
ESMERALDAS,1.0,-79.65,Ecuador
ESPERANCE,-33.87,121.9,Australia
ROTTERDAM,51.9,4.48,Netherlands
EUROPOORT,51.95,4.12,Netherlands
EVERETT,48.0,-122.22,United States
TEESPORT,54.65,-1.13,United Kingdom
FAGERSTRAND,59.73,10.6,Norway
HALIFAX,44.65,-63.58,Canada
FALKENBERG,56.9,12.5,Sweden
FALL RIVER,41.7,-71.17,United States
FAMAGUSTA,35.12,33.93,Cyprus
FANG-CHENG,21.75,108.35,China
KARACHI,24.78,66.98,Pakistan
FELIXSTOWE,51.95,1.32,United Kingdom
MALABO,3.75,8.78,Equatorial Guinea
FIUMICINO,41.77,12.23,Italy
FLENSBURG,54.8,9.43,Germany
VLISSINGEN,51.45,3.6,Netherlands
FLYING FISH COVE,-10.42,105.7,Christmas Island
FUZHOU,26.08,119.3,China
FORCADOS,5.37,5.43,Nigeria
FORT WILLIAM,56.82,-5.12,United Kingdom
FOS,43.42,4.88,France
FOYNES,52.62,-9.12,Ireland
VANCOUVER,49.28,-123.12,Canada
FRAY BENTOS,-33.12,-58.32,Uruguay
FREDERICIA,55.57,9.77,Denmark
FREDERIKSHAVN,57.43,10.55,Denmark
FREEPORT,28.95,-95.33,United States
FREETOWN,8.5,-13.23,Sierra Leone
FREMANTLE,-32.05,115.75,Australia
MARSEILLE,43.32,5.37,France
STOCKHOLM,59.33,18.05,Sweden
FUKUYAMA,34.43,133.43,Japan
FUNABASHI,35.67,139.95,Japan
FUNCHAL,32.63,-16.92,Portugal
GABES,33.9,10.12,Tunisia
GAETA,41.2,13.58,Italy
GALVESTON,29.32,-94.78,United States
GALWAY,53.27,-9.05,Ireland
RESERVE,30.05,-90.55,United States
GAVLE,60.68,17.17,Sweden
GDANSK,54.35,18.67,Poland
GDYNIA,54.53,18.55,Poland
GEBZE,40.77,29.55,Turkey
GEELONG,-38.15,144.37,Australia
GELA,37.07,14.25,Italy
GEMLIK,40.42,29.12,Turkey
GEORGETOWN,6.83,-58.17,Guyana
GERALDTON,-28.78,114.6,Australia
GHAZAOUET,35.1,-1.87,Algeria
GHENT,51.07,3.73,Belgium
GIJON,43.55,-5.67,Spain
GIOIA TAURO,38.42,15.9,Italy
PHILADELPHIA,39.95,-75.13,United States
GISBORNE,-38.67,178.03,New Zealand
GLENSANDA,56.57,-5.53,United Kingdom
GLOMFJORD,66.82,13.98,Norway
SABINE PASS,29.73,-93.9,United States
GRAND TURK,21.43,-71.15,Turks and Caicos Islands
GRANGEMOUTH,56.02,-3.72,United Kingdom
GRAVELINES,51.0,2.12,France
GRAVESEND,51.45,0.37,United Kingdom
GREAT YARMOUTH,52.62,1.73,United Kingdom
GREATER PLUTONIO TERMINAL,-7.83,12.1,Angola
GREENOCK,55.95,-4.75,United Kingdom
GREENORE,54.03,-6.13,Ireland
PORSGRUNN,59.15,9.67,Norway
GRESIK,-7.15,112.65,Indonesia
GRETNA,29.92,-90.07,United States
GRIMSBY,53.58,-0.07,United Kingdom
GRUNDARTANGI,64.27,-22.0,Iceland
HUASCO,-28.47,-71.25,Chile
GUANTA,10.25,-64.58,Venezuela
GUAYAQUIL,-2.2,-79.88,Ecuador
GUAYMAS,27.92,-110.92,Mexico
